Question,Answer
What is REST API?,"A REST API is a web service that follows REST architectural principles. It uses HTTP methods such as GET, POST, PUT, and DELETE to operate on resources identified by URLs."
What is Spring Boot?,"Spring Boot is a framework that simplifies Java application development by providing auto-configuration, embedded servers, and production-ready features."
What is dependency injection?,"Dependency Injection is a design pattern where objects receive their dependencies from an external source rather than creating them themselves. Spring manages this automatically."
What is React?,"React is an open-source JavaScript library developed by Meta for building fast, reusable, component-based user interfaces."
What is JSX?,"JSX is a syntax extension for JavaScript that allows developers to write HTML-like code inside JavaScript files. React converts JSX into JavaScript function calls."
What are Promises in JavaScript?,"A Promise is an object representing the eventual completion or failure of an asynchronous operation. It has three states: pending, fulfilled, and rejected."
What is async/await?,"Async/await is JavaScript syntax that simplifies working with Promises by allowing asynchronous code to be written in a synchronous style."
What is hoisting in JavaScript?,"Hoisting is JavaScript's behavior of moving variable and function declarations to the top of their scope before execution. Function declarations are fully hoisted, while let and const remain in the temporal dead zone until initialized."
What is event bubbling?,"Event bubbling is the process where an event starts from the target element and propagates upward through its parent elements."
What is DOM?,"The Document Object Model (DOM) is a programming interface that represents HTML and XML documents as a tree structure, allowing JavaScript to access and modify page content dynamically."
What is the difference between == and equals() in Java?,"The == operator compares object references, while the equals() method compares object contents. For primitive types, == compares actual values."
What is the difference between final, finally, and finalize in Java?,"final is a keyword used to prevent modification, inheritance, or overriding. finally is a block that always executes after try-catch. finalize() was a garbage collection method that is now deprecated."
What is Garbage Collection in Java?,"Garbage Collection automatically frees memory occupied by objects that are no longer reachable, reducing memory leaks."
What is the difference between List and Set in Java?,"A List maintains insertion order and allows duplicates, whereas a Set stores unique elements only."
What is the difference between HashSet and TreeSet?,"HashSet stores elements without ordering and offers O(1) operations. TreeSet stores sorted elements with O(log n) complexity."
What is Exception Handling?,"Exception handling allows programs to detect and recover from runtime errors using try, catch, finally, throw, and throws."
Checked vs Unchecked Exception?,"Checked exceptions must be handled or declared using throws, whereas unchecked exceptions occur at runtime and inherit from RuntimeException."
What is Serialization in Java?,"Serialization converts an object into a byte stream for storage or transmission."
What is Deserialization?,"Deserialization reconstructs an object from its serialized byte stream."
What is an Immutable Class?,"An immutable class cannot be modified after creation. String is a common example."
Difference between String, StringBuilder and StringBuffer?,"String is immutable, StringBuilder is mutable and not thread-safe, while StringBuffer is mutable and thread-safe."
What is Lambda Expression?,"A lambda expression provides a concise syntax for implementing functional interfaces introduced in Java 8."
What is Stream API?,"The Stream API processes collections using functional operations like filter(), map(), sorted(), and collect()."
What is Optional in Java?,"Optional is a container object used to avoid NullPointerException by explicitly representing optional values."
What is Functional Interface?,"A functional interface contains exactly one abstract method and can be implemented using lambda expressions."
Difference between Comparable and Comparator?,"Comparable defines natural ordering inside a class, while Comparator defines external custom ordering."
What is Enum in Java?,"An enum defines a fixed set of constants that represent predefined values."
What is Auto-boxing and Unboxing?,"Autoboxing converts primitive types into wrapper objects automatically, while unboxing converts wrapper objects back into primitives."
What is JDBC?,"JDBC is the Java Database Connectivity API used to connect Java applications with relational databases."
What is Maven?,"Maven is a build automation and dependency management tool for Java projects."
What is Gradle?,"Gradle is a modern build automation tool supporting Java, Kotlin, Android, and many other languages."
What is Python?,"Python is a high-level, interpreted programming language known for readability and simplicity."
What are Python decorators?,"Decorators modify the behavior of functions or methods without changing their source code."
What is a Python package?,"A package is a directory containing multiple Python modules and an __init__.py file."
Difference between list and tuple?,"Lists are mutable, whereas tuples are immutable."
Difference between append() and extend()?,"append() adds one object to a list, while extend() adds multiple elements from another iterable."
What is list comprehension?,"List comprehension provides a concise syntax for creating lists."
What are Python modules?,"Modules are Python files containing reusable functions, variables, and classes."
What is PEP 8?,"PEP 8 is the official Python style guide for writing readable code."
What is virtual environment?,"A virtual environment isolates Python dependencies for different projects."
Difference between deepcopy() and copy()?,"copy() creates a shallow copy, while deepcopy() recursively copies nested objects."
What is Node.js?,"Node.js is a JavaScript runtime built on Chrome's V8 engine for server-side development."
What is npm?,"npm is the default package manager for Node.js."
Difference between require() and import?,"require() is CommonJS syntax, while import is ES Module syntax."
What is Express.js?,"Express.js is a minimal web framework for Node.js."
What is middleware in Express?,"Middleware functions execute before request handlers to process requests and responses."
What is CORS?,"Cross-Origin Resource Sharing allows controlled access to resources from different domains."
What is JSON Web Token (JWT)?,"JWT is a compact token format used for authentication and authorization."
What is RESTful API?,"A RESTful API follows REST principles using HTTP methods and resource-based URLs."
What is HTTP Status Code 404?,"404 indicates the requested resource was not found."
What is HTTP Status Code 500?,"500 indicates an internal server error."
What is React Hook?,"Hooks allow functional React components to use state and lifecycle features."
What is useState()?,"useState() adds state variables to functional React components."
What is useEffect()?,"useEffect() performs side effects such as API calls or subscriptions."
What is Virtual DOM?,"Virtual DOM is React's lightweight representation of the real DOM used for efficient updates."
Difference between props and state?,"Props are read-only inputs, whereas state is mutable component data."
What is Redux?,"Redux is a predictable state management library."
What is Context API?,"Context API shares data across components without prop drilling."
What is React Router?,"React Router enables client-side navigation between pages."
What is component lifecycle?,"Lifecycle methods control mounting, updating, and unmounting of components."
Controlled vs uncontrolled component?,"Controlled components use React state, while uncontrolled components use DOM references."
What is SQL Injection?,"SQL Injection is a security vulnerability caused by executing unsanitized SQL queries."
What is Normalization?,"Normalization organizes database tables to reduce redundancy."
What is Denormalization?,"Denormalization combines tables to improve read performance."
Difference between DELETE, TRUNCATE and DROP?,"DELETE removes rows, TRUNCATE removes all rows quickly, DROP removes the table itself."
Primary Key vs Foreign Key?,"A primary key uniquely identifies rows, while a foreign key references another table."
What is Index in SQL?,"Indexes improve query performance by speeding up data retrieval."
Clustered vs Non-Clustered Index?,"Clustered indexes store data physically, while non-clustered indexes store pointers."
What is ACID?,"ACID properties ensure reliable database transactions."
What is Transaction?,"A transaction is a sequence of SQL operations executed as a single unit."
What is Stored Procedure?,"A stored procedure is a reusable SQL program stored inside the database."
What is Docker Image?,"A Docker image is a read-only template used to create containers."
What is Docker Container?,"A container is a running instance of a Docker image."
Difference between Docker Image and Container?,"Images are templates, whereas containers are running instances."
What is Docker Compose?,"Docker Compose defines and runs multi-container Docker applications."
What is Kubernetes?,"Kubernetes is an orchestration platform for managing containerized applications."
What is Linux?,"Linux is an open-source Unix-like operating system."
What is chmod?,"chmod changes file permissions in Linux."
What is chmod 777?,"It grants read, write, and execute permissions to everyone."
What is pwd?,"pwd displays the current working directory."
Difference between cp and mv?,"cp copies files, whereas mv moves or renames files."
What is HTML?,"HTML is the standard markup language for creating web pages."
Difference between id and class?,"An id uniquely identifies one element, while a class can be shared by multiple elements."
What is semantic HTML?,"Semantic HTML uses meaningful tags such as header, nav, article, and footer."
Difference between div and span?,"div is a block element, whereas span is an inline element."
What is localStorage?,"localStorage stores persistent key-value data inside the browser."
What is sessionStorage?,"sessionStorage stores data until the browser tab is closed."
Difference between cookies and localStorage?,"Cookies are sent with HTTP requests, while localStorage remains in the browser."
What is CSS Flexbox?,"Flexbox is a one-dimensional layout model."
What is CSS Grid?,"Grid is a two-dimensional layout system."
Difference between relative and absolute positioning?,"Relative positions an element relative to itself, absolute positions relative to the nearest positioned ancestor."
What is z-index?,"z-index controls the stacking order of overlapping elements."
What is media query?,"Media queries create responsive web layouts."
What is Big O Complexity?,"Big O measures algorithm efficiency as input size grows."
Difference between BFS and DFS?,"BFS explores level by level using a queue, while DFS explores depth-first using a stack or recursion."
What is Recursion?,"Recursion is a technique where a function calls itself."
What is Dynamic Programming?,"Dynamic Programming solves problems by storing solutions to overlapping subproblems."
What is Greedy Algorithm?,"A greedy algorithm makes the locally optimal choice at every step."
What is Binary Search?,"Binary Search finds an element in a sorted array with O(log n) complexity."
What is Merge Sort?,"Merge Sort is a divide-and-conquer sorting algorithm with O(n log n) complexity."
What is Quick Sort?,"Quick Sort partitions data around a pivot before recursively sorting."
Difference between Stack and Queue?,"A stack follows LIFO order, whereas a queue follows FIFO order."
What is a Linked List?,"A linked list stores elements as nodes connected through pointers."
What is API?,"An API defines how software components communicate."
What is Microservice?,"A microservice is an independently deployable service focused on one business capability."
Monolith vs Microservices?,"A monolith is a single application, while microservices split functionality into independent services."
What is OAuth?,"OAuth is an authorization framework allowing third-party applications limited access."
What is HTTPS?,"HTTPS secures HTTP communication using SSL/TLS encryption."
Difference between HTTP and HTTPS?,"HTTPS encrypts communication, whereas HTTP sends data in plain text."
What is SSL?,"SSL/TLS encrypts communication between clients and servers."
What is Load Balancer?,"A load balancer distributes incoming traffic across multiple servers."
What is Caching?,"Caching stores frequently accessed data to improve performance."
What is CDN?,"A Content Delivery Network delivers content from geographically distributed servers to reduce latency."
"What is the Java Memory Model (JMM)?","The Java Memory Model (JMM) defines how threads interact through memory and specifies the visibility, ordering, and atomicity of shared variables in Java programs."
"What is ClassLoader in Java?","A ClassLoader is a Java component responsible for loading class files into the JVM at runtime. It dynamically loads classes only when they are needed."
"How does ClassLoader delegation work?","Java ClassLoaders follow the parent delegation model, where a request is first passed to the parent ClassLoader before attempting to load the class itself. This prevents duplicate class loading and improves security."
"What are Java Reflection APIs?","Java Reflection allows programs to inspect and manipulate classes, methods, constructors, and fields at runtime. It is commonly used in frameworks such as Spring and Hibernate."
"What is Java Annotation?","Annotations provide metadata about Java code. They can be processed at compile time or runtime to influence program behavior."
"What are custom annotations?","Custom annotations are user-defined annotations created using the @interface keyword. They are commonly used for validation, configuration, and framework development."
"What is the volatile keyword?","The volatile keyword ensures that changes made to a variable by one thread are immediately visible to other threads. It does not provide atomicity."
"What is the difference between volatile and synchronized?","volatile guarantees variable visibility between threads, whereas synchronized provides both visibility and mutual exclusion by allowing only one thread to execute a critical section at a time."
"What is the transient keyword?","The transient keyword prevents a field from being serialized when an object is converted into a byte stream."
"What is the native keyword?","The native keyword declares that a method is implemented in another language such as C or C++ using the Java Native Interface (JNI)."
"What is strictfp?","The strictfp keyword ensures floating-point calculations produce consistent results across different hardware platforms."
"What is the Singleton Design Pattern?","The Singleton pattern ensures that only one instance of a class exists throughout the application and provides a global access point to that instance."
"How do you implement a thread-safe Singleton?","A thread-safe Singleton can be implemented using eager initialization, synchronized methods, enum singletons, or double-checked locking with a volatile instance."
"What is Double Checked Locking?","Double Checked Locking is a technique used to reduce synchronization overhead when creating singleton objects by checking the instance before and after synchronization."
"What is the Factory Design Pattern?","The Factory Pattern creates objects without exposing the object creation logic to the client, promoting loose coupling."
"What is the Builder Design Pattern?","The Builder Pattern constructs complex objects step by step, improving readability and flexibility when creating objects with many optional parameters."
"What is the Strategy Design Pattern?","The Strategy Pattern defines a family of interchangeable algorithms and allows behavior to be selected at runtime."
"What is the Observer Design Pattern?","The Observer Pattern establishes a one-to-many relationship where multiple observers are automatically notified when the subject's state changes."
"What is the Dependency Inversion Principle?","The Dependency Inversion Principle states that high-level modules should depend on abstractions rather than concrete implementations."
"What are the SOLID principles?","SOLID is a set of object-oriented design principles consisting of Single Responsibility, Open-Closed, Liskov Substitution, Interface Segregation, and Dependency Inversion."
"What is Composition over Inheritance?","Composition over Inheritance is a design principle that favors combining objects instead of extending classes to improve flexibility and maintainability."
"What is Covariant Return Type?","A covariant return type allows an overriding method to return a subtype of the return type declared in the superclass."
"What is a Marker Interface?","A Marker Interface is an interface without methods that provides metadata to the JVM or frameworks, such as Serializable."
"What is a Fail-Fast Iterator?","A Fail-Fast Iterator throws ConcurrentModificationException if the underlying collection is modified during iteration."
"What is a Fail-Safe Iterator?","A Fail-Safe Iterator works on a copy of the collection and does not throw ConcurrentModificationException when the original collection changes."
"What is the difference between Iterator and ListIterator?","Iterator supports forward traversal only, whereas ListIterator supports both forward and backward traversal along with element modification."
"What is the difference between ConcurrentHashMap and HashMap?","ConcurrentHashMap supports thread-safe concurrent access without locking the entire map, whereas HashMap is not thread-safe."
"What is CopyOnWriteArrayList?","CopyOnWriteArrayList is a thread-safe list implementation where modifications create a new copy of the underlying array."
"What is BlockingQueue?","BlockingQueue is a thread-safe queue that blocks producers or consumers when the queue is full or empty."
"What is ExecutorService?","ExecutorService is a framework that manages thread creation and execution, simplifying concurrent programming."
"What is the difference between Callable and Runnable?","Runnable does not return a result and cannot throw checked exceptions, whereas Callable returns a result and supports checked exceptions."
"What is the difference between Future and CompletableFuture?","Future represents the result of an asynchronous computation, while CompletableFuture supports asynchronous chaining, callbacks, and non-blocking programming."
"What is ForkJoinPool?","ForkJoinPool is a specialized thread pool designed for divide-and-conquer algorithms using work stealing."
"What are Parallel Streams?","Parallel Streams execute stream operations concurrently using multiple CPU cores, improving performance for suitable workloads."
"What is Deadlock in Java?","Deadlock occurs when two or more threads wait indefinitely for resources held by each other."
"What is the difference between Starvation and Deadlock?","Deadlock occurs when threads permanently block each other, whereas starvation happens when a thread never receives sufficient CPU time or resources."
"What is Livelock?","Livelock occurs when threads continuously respond to each other without making progress."
"What is a Race Condition?","A race condition occurs when multiple threads access shared data simultaneously, leading to unpredictable results."
"What is AtomicInteger?","AtomicInteger provides atomic operations on integer values without requiring explicit synchronization."
"What is CountDownLatch?","CountDownLatch allows one or more threads to wait until a specified number of operations have completed."
"What is CyclicBarrier?","CyclicBarrier synchronizes multiple threads by making them wait until all participating threads reach a common barrier."
"What is Semaphore?","Semaphore controls access to shared resources by maintaining a set number of permits."
"What is Phaser?","Phaser is a flexible synchronization barrier that supports multiple phases of execution."
"What is a Memory Leak in Java?","A memory leak occurs when objects are no longer needed but remain referenced, preventing garbage collection."
"What is the difference between WeakReference and SoftReference?","WeakReference objects are collected during the next garbage collection cycle, whereas SoftReference objects are retained until memory becomes scarce."
"What is the difference between Serialization and Externalization?","Serialization automatically saves object state, whereas Externalization allows developers to manually control how objects are serialized and deserialized."
